name	condition1	condition2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	Average
A14JGIN4ZXXLGD	medium	fast	376	1340	1732	1356	2344	90	276	0	1054	738	1932	2348	1708	2112	1948	1290.266667
A1EP3XESXAG0EP	fast	fast	290	602	540	1110	280	896	1108	1068	998	1616	1424	892	1320	1196	1298	975.8666667
A1G34TESSXG1R8	slow	fast	1326	2076	2034	2400	2346	1010	1754	1858	1954	2036	2058	2352	2376	1782	2376	1982.533333
A1H5I0BGVIY5CC	slow	slow	0	876	1164	0	0	1188	1182	2070	2094	1800	1758	2394	2382	2076	2100	1405.6
A1HKCTDOTL6C9I	slow	slow	600	1794	2082	2094	2088	2394	2400	2394	2400	2382	2694	2094	2082	2382	2394	2151.6
A1MN2PWAV10VAB	fast	slow	558	192	1110	1148	388	0	0	0	228	882	532	1162	930	912	1136	611.8666667
A1N53V41FMCR7Q	fast	slow	316	848	960	936	794	1776	2100	1788	2088	2382	1368	1278	1274	1170	1402	1365.333333
A1V4IGF2OD43ZT	medium	medium	2364	3168	3356	2564	2564	2952	3360	3368	3336	3576	3108	2960	2948	2748	3144	3034.4
A1X84T4EFW04GZ	medium	fast	1240	1336	2528	2132	2128	1404	970	1520	1084	1622	1844	2544	2292	2956	2712	1887.466667
A1Z7XZCHIRHCBY	slow	slow	264	834	0	294	810	264	534	864	1128	546	834	564	834	1134	534	629.2
A28GXI90JIF3I7	medium	medium	1532	2716	2732	3132	3332	2924	2936	3328	2904	2932	3552	3528	3144	3316	3556	3037.6
A28IFWT5CR33RZ	medium	fast	2292	2720	2908	2876	2512	492	1008	1230	1734	1432	2952	3564	3132	3156	3560	2371.2
A29CB19F64GGIF	fast	medium	0	1262	1364	1232	824	1540	2748	2956	2704	1920	1242	1340	1228	1754	868	1532.133333
A2FBT0BSFOV91D	medium	fast	0	0	1592	1768	1972	616	844	1136	1446	1448	2132	2176	2144	1968	2368	1440.666667
A2FMEIDYEIWJA8	slow	fast	882	2082	2076	2082	2076	424	288	158	138	718	1188	2682	2346	2388	2082	1440.666667
A2H4HO2XNNKV0O	slow	medium	1200	1794	1788	2088	2688	2588	2992	3176	3160	2984	2376	2094	2400	2694	3000	2468.133333
A2HHWFGVV9UUC5	medium	slow	148	1548	1972	2384	2380	1170	2070	2094	2394	2382	2380	2176	2164	2392	2192	1989.733333
A2M3FPQF852HW4	fast	slow	950	2122	1708	2456	2242	1776	2376	2694	2982	2376	2354	2450	2430	2438	2554	2260.533333
A2RWLFIP23FZA7	medium	slow	1916	2540	2932	2940	2928	2082	2082	2094	2376	2376	2720	3160	3140	2912	3156	2623.6
A2RY4MK1FONYH1	fast	fast	554	792	1322	796	762	554	998	934	628	1014	980	1290	1156	1274	1388	962.8
A2W8TJXW68442D	fast	fast	96	270	324	656	1176	1176	868	1292	870	1280	1308	1400	1706	1502	1714	1042.533333
A2XW91EHCZ3T3V	medium	slow	1264	2488	2912	2720	2868	2028	858	858	282	1434	2956	3128	2896	2912	2932	2169.066667
