name	condition1	condition2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	Average
A1H5I0BGVIY5CC	slow	slow	0	876	1164	0	0	1188	1182	2070	2094	1800	1758	2394	2382	2076	2100	1405.6
A1HKCTDOTL6C9I	slow	slow	600	1794	2082	2094	2088	2394	2400	2394	2400	2382	2694	2094	2082	2382	2394	2151.6
A1V4IGF2OD43ZT	medium	medium	2364	3168	3356	2564	2564	2952	3360	3368	3336	3576	3108	2960	2948	2748	3144	3034.4
A1Z7XZCHIRHCBY	slow	slow	264	834	0	294	810	264	534	864	1128	546	834	564	834	1134	534	629.2
A28GXI90JIF3I7	medium	medium	1532	2716	2732	3132	3332	2924	2936	3328	2904	2932	3552	3528	3144	3316	3556	3037.6
A2H4HO2XNNKV0O	slow	medium	1200	1794	1788	2088	2688	2588	2992	3176	3160	2984	2376	2094	2400	2694	3000	2468.133333
A2HHWFGVV9UUC5	medium	slow	148	1548	1972	2384	2380	1170	2070	2094	2394	2382	2380	2176	2164	2392	2192	1989.733333
A2RWLFIP23FZA7	medium	slow	1916	2540	2932	2940	2928	2082	2082	2094	2376	2376	2720	3160	3140	2912	3156	2623.6
A2XW91EHCZ3T3V	medium	slow	1264	2488	2912	2720	2868	2028	858	858	282	1434	2956	3128	2896	2912	2932	2169.066667
A2Z750U1HCWVEE	slow	slow	1434	1428	894	1434	2052	2070	2358	2016	2088	2346	2340	2670	2658	2058	1416	1950.8
A3APMO8WXVH1V0	slow	slow	882	1800	1776	2094	2094	2100	2394	2094	2094	1788	2094	2100	2394	2100	2376	2012
A3RUQO10JKY9NT	medium	medium	2168	2756	2568	2728	3380	2952	3168	2952	2968	3368	3160	3360	2952	3136	3548	3010.933333
A3UQ5DF8VVD975	slow	medium	1794	1794	2394	2388	2394	2160	2784	2552	2984	3168	2682	2688	2694	2394	2688	2503.866667
A6AAAG3KQ7XXV	medium	medium	0	260	176	0	1400	1984	1584	2180	2384	2388	2192	2192	2196	1580	1980	1499.733333
A7P3R1AIA4TVV	slow	medium	1476	2058	2370	2088	2388	2336	2948	3124	2944	2932	1800	2076	1794	2070	2100	2300.266667
