Agent	Subject	condition1	condition2	GameNb	Points	Entropy	Periodicity	Amplitude	MuIFI	StdIFI	CV	Resets	Deflations	Misses	GameSpeed	Temperature
Model	model_194171356751_1	medium	medium	1	1752.0	3.369285783173354	608.0	0.09991665745182839	760.3095238095239	232.78638154562773	0.306173175865605	10.0	18.0	13.0	MMM	no
Model	model_194171356751_1	medium	medium	2	2324.0	3.379883381622602	688.0	0.19197553778244916	816.0714285714286	202.29415085312715	0.24788779973249717	1.0	17.0	21.0	MMM	no
Model	model_194171356751_1	medium	medium	3	2108.0	3.176236524201685	592.0	0.11814828612752867	696.6343283582089	232.9454660748893	0.3343870041889594	2.0	15.0	23.0	MMM	no
Model	model_194171356751_1	medium	medium	4	1864.0	3.6627694464454756	752.0	0.19145561108422723	928.05	301.9231924954866	0.3253307391794479	0.0	25.0	34.0	MMM	no
Model	model_194171356751_1	medium	medium	5	2348.0	3.239560372562681	736.0	0.26315621487861496	770.3764705882353	225.67978232940837	0.2929473977276154	1.0	9.0	13.0	MMM	no
Model	model_194171356751_1	medium	medium	6	2500.0	3.272943567158958	656.0	0.17725334634189355	756.771186440678	214.78579834285782	0.28381867887050494	0.0	20.0	25.0	MMM	no
Model	model_194171356751_1	medium	medium	7	2732.0	3.1005085283650087	656.0	0.3031361452642464	710.6222222222223	246.3030312640844	0.3466019265396147	0.0	15.0	21.0	MMM	no
Model	model_194171356751_1	medium	medium	8	3160.0	3.1318191277248277	672.0	0.29524821121077915	699.1525423728814	220.75139890984832	0.3157413948043891	0.0	7.0	10.0	MMM	no
Model	model_194171356751_1	medium	medium	9	3368.0	2.793298004518283	640.0	0.35237322292435364	638.1506024096385	143.71028492635105	0.22519807140149223	0.0	7.0	10.0	MMM	no
Model	model_194171356751_1	medium	medium	10	2952.0	2.816198147050984	688.0	0.30065299298914466	665.2866242038217	157.1694307060906	0.23624318449838413	1.0	7.0	13.0	MMM	no
Model	model_194171356751_1	medium	medium	11	2712.0	3.0675703263542218	656.0	0.22788879085716482	682.2536231884058	187.25213806926263	0.2744611852615293	1.0	15.0	23.0	MMM	no
Model	model_194171356751_1	medium	medium	12	2936.0	3.214970517530057	656.0	0.32609596806495905	636.4888888888889	130.76393016462438	0.20544573903386973	0.0	8.0	19.0	MMM	no
Model	model_194171356751_1	medium	medium	13	2948.0	2.9150751752339343	656.0	0.3411082659032713	645.1895424836601	142.16839649702666	0.2203513651968827	1.0	7.0	13.0	MMM	no
Model	model_194171356751_1	medium	medium	14	3364.0	2.8515088634355616	640.0	0.372504701702402	616.6643835616438	137.62203936060055	0.2231717008946462	0.0	2.0	10.0	MMM	no
Model	model_194171356751_1	medium	medium	15	3156.0	2.9011294805928087	640.0	0.416901353324322	619.3194444444445	139.48310594525705	0.22521996878425035	0.0	6.0	11.0	MMM	no
Model	model_194171356751_2	medium	medium	1	888.0	3.561837656761026	944.0	0.16410655705055885	960.6086956521739	298.8308725000953	0.31108491298552515	3.0	30.0	28.0	MMM	no
Model	model_194171356751_2	medium	medium	2	1512.0	3.2732375775719715	848.0	0.25768588923336255	918.6507936507936	233.30766244706362	0.25396773622747315	0.0	28.0	27.0	MMM	no
Model	model_194171356751_2	medium	medium	3	2364.0	3.1374078068845774	832.0	0.2767037012363564	890.3216783216783	216.4741171045726	0.24314146490585536	0.0	19.0	10.0	MMM	no
Model	model_194171356751_2	medium	medium	4	1324.0	3.112942105683716	928.0	0.11767152553567155	1034.251968503937	253.018158400493	0.24463879799667007	2.0	28.0	19.0	MMM	no
Model	model_194171356751_2	medium	medium	5	1100.0	3.4573613310898645	944.0	0.13258519854579628	1079.4074074074074	268.4344082826726	0.2486868317194675	0.0	38.0	27.0	MMM	no
Model	model_194171356751_2	medium	medium	6	1316.0	3.2729455046547686	880.0	0.27930645338821325	963.957264957265	251.1879261471223	0.2605799398775818	0.0	30.0	26.0	MMM	no
Model	model_194171356751_2	medium	medium	7	1728.0	3.5164147846085476	944.0	0.3061834117660194	1008.7377049180328	156.65016905061117	0.15529326234845175	0.0	27.0	24.0	MMM	no
Model	model_194171356751_2	medium	medium	8	1732.0	3.1555156297415032	1040.0	0.32559335228892616	1010.0694444444445	197.27074080427928	0.1953041366505068	0.0	20.0	18.0	MMM	no
Model	model_194171356751_2	medium	medium	9	2376.0	3.242841459528704	928.0	0.2737917609131266	949.6449275362319	179.03982233435244	0.18853343722780166	0.0	15.0	7.0	MMM	no
Model	model_194171356751_2	medium	medium	10	1948.0	3.1764159150616877	880.0	0.3848968384466954	857.6837606837607	250.3351821288775	0.29187352449031545	1.0	14.0	13.0	MMM	no
Model	model_194171356751_2	medium	medium	11	1936.0	3.3022750316059097	960.0	0.28315396395465614	946.9727272727273	199.2364268944133	0.21039299354292113	0.0	14.0	16.0	MMM	no
Model	model_194171356751_2	medium	medium	12	2160.0	3.56069898248936	928.0	0.3176271471892384	916.8666666666667	243.49276968503372	0.2655705333582132	0.0	10.0	10.0	MMM	no
Model	model_194171356751_2	medium	medium	13	1728.0	3.3746968644326953	976.0	0.21156537463089134	941.747572815534	278.8044767942519	0.2960501145341025	0.0	20.0	18.0	MMM	no
Model	model_194171356751_2	medium	medium	14	1520.0	3.410655132598726	960.0	0.34387735683212034	935.6813186813187	142.365330938421	0.1521515157949935	1.0	22.0	21.0	MMM	no
Model	model_194171356751_2	medium	medium	15	2372.0	3.3065912770902197	928.0	0.3645411405535587	929.6694915254237	160.63006531403857	0.17278190451369224	0.0	10.0	11.0	MMM	no
