Agent	Subject	condition1	condition2	GameNb	Points	Entropy	Periodicity	Amplitude	MuIFI	StdIFI	CV	Resets	Deflations	Misses	GameSpeed	NewTracker
Model	model_657267516_1	medium	medium	1	1284.0	3.588377195891648	608.0	0.03091000418398707	810.2727272727273	331.69024183554995	0.4093562953204364	15.0	28.0	32.0	MMM	no
Model	model_657267516_1	medium	medium	2	1608.0	3.1194737245399375	592.0	0.12862677520174723	720.2869565217392	214.21897635332795	0.29740782394254356	3.0	19.0	51.0	MMM	no
Model	model_657267516_1	medium	medium	3	2328.0	3.1412669065107393	592.0	0.15197510397150643	674.7166666666667	216.94850323419047	0.321540157450076	6.0	16.0	22.0	MMM	no
Model	model_657267516_1	medium	medium	4	2332.0	3.0349556451028565	688.0	0.3592933016061373	655.8301886792453	122.67424817016547	0.1870518470905023	14.0	8.0	19.0	MMM	no
Model	model_657267516_1	medium	medium	5	2752.0	3.0555649129237596	640.0	0.2353662096755372	636.5982142857143	140.24649599782651	0.22030614106448293	15.0	9.0	18.0	MMM	no
Model	model_657267516_1	medium	medium	6	2928.0	3.083613459876932	672.0	0.2783888260399615	668.05	151.23253893700698	0.2263790718314602	3.0	7.0	18.0	MMM	no
Model	model_657267516_1	medium	medium	7	2564.0	3.0506586523106836	704.0	0.1381277573157731	757.6826347305389	203.99507126311906	0.26923551090182707	6.0	8.0	9.0	MMM	no
Model	model_657267516_1	medium	medium	8	2880.0	2.6663291212337685	640.0	0.27635009897239665	630.1347150259068	172.27656547680408	0.2733964045604459	1.0	13.0	30.0	MMM	no
Model	model_657267516_1	medium	medium	9	2968.0	2.847502849683931	640.0	0.32091731785510796	623.056	134.48017275420196	0.21583962397312914	11.0	1.0	9.0	MMM	no
Model	model_657267516_1	medium	medium	10	2096.0	2.836700376605725	592.0	0.31957604492434083	599.3565891472869	150.73909892577717	0.2515015295656228	17.0	15.0	27.0	MMM	no
Model	model_657267516_1	medium	medium	11	2960.0	3.1693506792712354	592.0	0.28983095233691164	668.5222222222222	214.10284277409914	0.32026286585119623	2.0	5.0	10.0	MMM	no
Model	model_657267516_1	medium	medium	12	2800.0	2.6736953429060843	656.0	0.34319818472559455	658.6448087431694	173.23731965468147	0.2630208533568406	13.0	1.0	1.0	MMM	no
Model	model_657267516_1	medium	medium	13	3188.0	2.8820158181773574	656.0	0.2785766202168604	686.7573529411765	186.61439861238915	0.27173265464603397	0.0	1.0	3.0	MMM	no
