Agent	Subject	condition1	condition2	GameNb	Points	Entropy	Periodicity	Amplitude	MuIFI	StdIFI	CV	Resets	Deflations	Misses	GameSpeed	Temperature
Model	model_194171356751_1	medium	medium	1	1752	3.369285783	608	0.099916657	760.3095238	232.7863815	0.306173176	10	18	13	MMM	no
Model	model_194171356751_1	medium	medium	2	2324	3.379883382	688	0.191975538	816.0714286	202.2941509	0.2478878	1	17	21	MMM	no
Model	model_194171356751_1	medium	medium	3	2108	3.176236524	592	0.118148286	696.6343284	232.9454661	0.334387004	2	15	23	MMM	no
Model	model_194171356751_1	medium	medium	4	1864	3.662769446	752	0.191455611	928.05	301.9231925	0.325330739	0	25	34	MMM	no
Model	model_194171356751_1	medium	medium	5	2348	3.239560373	736	0.263156215	770.3764706	225.6797823	0.292947398	1	9	13	MMM	no
Model	model_194171356751_1	medium	medium	6	2500	3.272943567	656	0.177253346	756.7711864	214.7857983	0.283818679	0	20	25	MMM	no
Model	model_194171356751_1	medium	medium	7	2732	3.100508528	656	0.303136145	710.6222222	246.3030313	0.346601927	0	15	21	MMM	no
Model	model_194171356751_1	medium	medium	8	3160	3.131819128	672	0.295248211	699.1525424	220.7513989	0.315741395	0	7	10	MMM	no
Model	model_194171356751_1	medium	medium	9	3368	2.793298005	640	0.352373223	638.1506024	143.7102849	0.225198071	0	7	10	MMM	no
Model	model_194171356751_1	medium	medium	10	2952	2.816198147	688	0.300652993	665.2866242	157.1694307	0.236243184	1	7	13	MMM	no
Model	model_194171356751_1	medium	medium	11	2712	3.067570326	656	0.227888791	682.2536232	187.2521381	0.274461185	1	15	23	MMM	no
Model	model_194171356751_1	medium	medium	12	2936	3.214970518	656	0.326095968	636.4888889	130.7639302	0.205445739	0	8	19	MMM	no
Model	model_194171356751_1	medium	medium	13	2948	2.915075175	656	0.341108266	645.1895425	142.1683965	0.220351365	1	7	13	MMM	no
Model	model_194171356751_1	medium	medium	14	3364	2.851508863	640	0.372504702	616.6643836	137.6220394	0.223171701	0	2	10	MMM	no
Model	model_194171356751_1	medium	medium	15	3156	2.901129481	640	0.416901353	619.3194444	139.4831059	0.225219969	0	6	11	MMM	no
Model	model_194171356751_2	medium	medium	1	888	3.561837657	944	0.164106557	960.6086957	298.8308725	0.311084913	3	30	28	MMM	no
Model	model_194171356751_2	medium	medium	2	1512	3.273237578	848	0.257685889	918.6507937	233.3076624	0.253967736	0	28	27	MMM	no
Model	model_194171356751_2	medium	medium	3	2364	3.137407807	832	0.276703701	890.3216783	216.4741171	0.243141465	0	19	10	MMM	no
Model	model_194171356751_2	medium	medium	4	1324	3.112942106	928	0.117671526	1034.251969	253.0181584	0.244638798	2	28	19	MMM	no
Model	model_194171356751_2	medium	medium	5	1100	3.457361331	944	0.132585199	1079.407407	268.4344083	0.248686832	0	38	27	MMM	no
Model	model_194171356751_2	medium	medium	6	1316	3.272945505	880	0.279306453	963.957265	251.1879261	0.26057994	0	30	26	MMM	no
